Model Name,Model Code for API,Last Updated,Description,Inputs,Outputs,Input Token Limit,Output Token Limit,Key Features,Model Card Link,,,,,,,
Gemini 2.5 Flash Native Audio,gemini-2.5-flash-native-audio,December 2024,Specialized for native audio processing and understanding,"Text, Audio",Text,"1,000,000","8,192","Native audio processing, speech understanding, audio analysis",https://ai.google.dev/models/gemini-2.5-flash-native-audio,,,,,,,
Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-preview-tts,December 2024,Preview model with text-to-speech capabilities,Text,"Text, Audio","1,000,000","8,192","Text-to-speech, voice synthesis, preview features",https://ai.google.dev/models/gemini-2.5-flash-preview-tts,,,,,,,
Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts,December 2024,Advanced preview model with enhanced TTS capabilities,"Text, Images, Audio, Video, Documents","Text, Audio","2,000,000","8,192","Advanced TTS, multimodal, high-quality voice synthesis",https://ai.google.dev/models/gemini-2.5-pro-preview-tts,,,,,,,
Gemini 2.0 Flash,gemini-2.0-flash,December 2024,Fast multimodal model with tool use and code execution capabilities,"Text, Images, Audio, Video",Text,"1,000,000","8,192","Tool use, code execution, multimodal, fast inference",https://ai.google.dev/models/gemini-2.0-flash,,,,,,,
Gemini 2.0 Flash Preview Image Generation,gemini-2.0-flash-preview-image-gen,December 2024,Preview model with integrated image generation capabilities,Text,"Text, Images","1,000,000","8,192","Image generation, text-to-image, preview features",https://ai.google.dev/models/gemini-2.0-flash-preview-image-gen,,,,,,,
Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,December 2024,Lightweight version of Gemini 2.0 Flash for efficient processing,"Text, Images",Text,"1,000,000","8,192","Lightweight, fast, cost-effective, basic multimodal",https://ai.google.dev/models/gemini-2.0-flash-lite,,,,,,,
Imagen 4,imagen-4,December 2024,Latest image generation model with improved quality and safety,Text,Images,Text prompts,High-resolution images,"High-quality image generation, improved safety, text-to-image",https://ai.google.dev/models/imagen-4,,,,,,,
Imagen 3,imagen-3,August 2024,Advanced image generation model with high-quality outputs,Text,Images,Text prompts,High-resolution images,"High-quality generation, text-to-image, creative control",https://ai.google.dev/models/imagen-3,,,,,,,
Veo 3 Preview,veo-3-preview,December 2024,Preview video generation model with enhanced capabilities,"Text, Images",Videos,"Text prompts, reference images",High-quality videos,"Video generation, text-to-video, image-to-video, preview features",https://ai.google.dev/models/veo-3-preview,,,,,,,
Veo 2,veo-2,December 2024,Advanced video generation model with improved quality and control,"Text, Images",Videos,"Text prompts, reference images",High-quality videos up to 4K,"4K video generation, improved physics, better temporal consistency",https://ai.google.dev/models/veo-2,,,,,,,
Gemini 2.5 Flash Live,gemini-2.5-flash-live,December 2024,Real-time conversational model with live interaction capabilities,"Text, Audio, Video (live streams)","Text, Audio",Live streaming,Real-time responses,"Real-time interaction, live streaming, conversational AI",https://ai.google.dev/models/gemini-2.5-flash-live,,,,,,,
Claude Opus 4,claude-opus-4-20250514,Mar 2025,"Our most capable model. Price: $15 / MTok (Input), $75 / MTok (Output).","Text, Image",Text,"200,000","32,000","Superior reasoning, Vision, Extended thinking",,,,,,,,
Claude Sonnet 4,claude-sonnet-4-20250514,Mar 2025,"High-performance model with exceptional reasoning. Price: $3 / MTok (Input), $15 / MTok (Output).","Text, Image",Text,"200,000","64,000","High intelligence, Balanced performance, Vision",,,,,,,,
Claude Sonnet 3.7,claude-3-7-sonnet-20250219,Nov 2024,"High-performance model with toggleable extended thinking. Price: $3 / MTok (Input), $15 / MTok (Output).","Text, Image",Text,"200,000","64,000","High intelligence, Extended thinking, Vision",,,,,,,,
Claude Sonnet 3.5,claude-3-5-sonnet-20241022,Apr 2024,"Our previous intelligent model. Price: $3 / MTok (Input), $15 / MTok (Output).","Text, Image",Text,"200,000","8,192","High intelligence and capability, Vision",,,,,,,,
Claude Haiku 3.5,claude-3-5-haiku-20241022,July 2024,"Our fastest model for intelligence at blazing speeds. Price: $0.80 / MTok (Input), $4 / MTok (Output).","Text, Image",Text,"200,000","8,192","Fastest model, Vision, Priority Tier access",,,,,,,,
Grok 4,grok-4-latest,July 2025,Language model. Price: $3.00 - $15.00 per million tokens.,"Text, Image",Text,"256,000","8,192","Function calling, Structured outputs",,,,,,,,
Grok 3,grok-3,Feb 2025,Language model. Price: $3.00 - $15.00 per million tokens.,"Text, Image",Text,"131,072","8,192","Function calling, Structured outputs",,,,,,,,
Grok 3 mini,grok-3-mini,Feb 2025,Language model. Price: $0.30 - $0.50 per million tokens.,"Text, Image",Text,"131,072","8,192","Function calling, Structured outputs",,,,,,,,
Grok 3 fast,grok-3-fast,Feb 2025,Language model. Price: $5.00 - $25.00 per million tokens.,"Text, Image",Text,"131,072","8,192","Function calling, Structured outputs",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,https://docs.x.ai/docs/models/grok-3-mini
